,Price,Bed,Bath,Toilet,Built or Serviced,Property Type,Area,Purchase Type,Parking Space,Security,Electricity,Furnished,Security Doors,CCTV,BQ,Gym,Pool
26162,150000.0,1.0,1.0,1.0,Furnished,Mini flat,Ajah,rent,0,0,0,1,0,0,0,0,0
26163,1500000.0,2.0,2.0,3.0,Furnished,Blocks of flats,Ajah,rent,1,0,0,1,0,0,0,0,0
26165,1500000.0,3.0,3.0,3.0,Serviced,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
26167,1000000.0,1.0,1.0,2.0,Serviced,Mini flat,Ajah,rent,1,0,1,0,0,0,0,0,0
26170,600000.0,1.0,1.0,1.0,Serviced,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
26171,1000000.0,1.0,1.0,2.0,Newly Built,Mini flat,Ajah,rent,1,0,0,0,0,0,0,0,0
26179,1000000.0,3.0,3.0,4.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
26180,2000000.0,5.0,5.0,6.0,Furnished,Detached duplex,Ajah,rent,0,0,0,1,0,0,0,0,0
26181,2000000.0,4.0,4.0,5.0,Furnished,Terraced duplex,Ajah,rent,0,0,0,1,0,0,0,0,0
26185,850000.0,2.0,2.0,2.0,Furnished,Flat / apartment,Ajah,rent,0,0,0,1,0,0,0,0,0
26187,750000.0,3.0,3.0,4.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
26188,300000.0,1.0,1.0,1.0,Newly Built,Self contain,Ajah,rent,0,1,0,0,0,0,0,0,0
26190,450000.0,3.0,3.0,4.0,Serviced,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
26195,800000.0,3.0,3.0,3.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
26203,1200000.0,3.0,3.0,4.0,Serviced,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
26206,2000000.0,3.0,3.0,4.0,Serviced,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
26208,700000.0,2.0,2.0,3.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
26210,1200000.0,2.0,2.0,3.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
26211,800000.0,2.0,3.0,3.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
26213,230000.0,1.0,1.0,1.0,Furnished,Mini flat,Ajah,rent,0,1,0,1,0,0,0,0,0
26214,500000.0,2.0,2.0,3.0,Furnished,Mini flat,Ajah,rent,0,0,0,1,0,0,0,0,0
26215,500000.0,1.0,1.0,2.0,Furnished,Self contain,Ajah,rent,1,0,0,1,0,0,0,0,0
26216,600000.0,2.0,2.0,2.0,Furnished,Mini flat,Ajah,rent,0,0,0,1,0,0,0,0,0
26217,650000.0,2.0,3.0,3.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
26218,800000.0,2.0,3.0,3.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
26219,300000.0,1.0,1.0,1.0,Newly Built,Self contain,Ajah,rent,0,0,0,0,0,0,0,0,0
